"","Anio","Bloque","X_UTM","Y_UTM","Altitud","Inc","Sevmed","LonBrot","Afmed","CA","RA","Color"
"189",2017,"Media",605741.3662,2181015.501,2992.9,0,0,6.2,0.3095,0,100,1
"190",2017,"Media",605726.7336,2181008.773,2973.5,0,0,12.3,0.4382,0,100,1
"191",2017,"Media",605721.5238,2181003.652,2990.9,0,0,8.5,0.2994,0,100,1
"192",2017,"Media",605715.2595,2180999.63,2990.6,0,0,9.7,0.2725,0,100,1
"193",2017,"Media",605712.1161,2180999.501,2973.4,0,0,10.2,0.379033333,0,100,2
"194",2017,"Media",605712.1003,2181002.157,2991.1,0,0,17.2,0.453766667,0,100,2
"195",2017,"Media",605709.9215,2181016.089,2991.4,0,0,11.3,0.2805,0,100,1
"196",2017,"Media",605719.3568,2181015.591,2991.8,0,0,8.7,0.2659,1.388888889,98.61111111,1
"197",2017,"Media",605725.683,2181009.21,2992.5,0,0,10.1,0.290533333,1.265822785,98.73417722,2
"198",2017,"Media",605728.1738,2181013.32,2992.4,0,0,6.5,0.249566667,0,100,1
"199",2017,"Baja",605744.4102,2181032.341,2975.7,0,0,10.2,0.363133333,0,100,1
"200",2017,"Baja",605740.8141,2181037.854,2980.1,0,0,7.7,0.283666667,1.785714286,98.21428571,1
"201",2017,"Baja",605740.1866,2181037.629,2979.6,0,0,13.9,0.3874,0,100,1
"202",2017,"Baja",605738.0893,2181037.837,2979.8,0,0,12,0.3582,0,100,1
"203",2017,"Baja",605731.7927,2181039.239,2979,0,0,8.5,0.4343,1.063829787,98.93617021,1
"204",2017,"Baja",605731.3312,2181028.722,2978.7,0,0,8.5,0.350366667,0,100,1
"205",2017,"Baja",605734.5002,2181024.535,2994.3,0,0,8.9,0.463133333,0,100,1
"206",2017,"Baja",605724.5153,2181029.346,2993.3,0,0,7.6,0.439433333,0,100,1
"207",2017,"Baja",605728.7053,2181029.703,2974.3,0,0,10.3,0.358066667,0,100,1
"208",2017,"Baja",605741.3313,2181021.366,2994.3,0,0,10.1,0.311366667,0,100,1
"209",2017,"Baja",605757.8895,2181056.77,2980,0,0,6.6,0.249333333,1.818181818,98.18181818,1
"210",2017,"Baja",605732.9572,2181019.656,2992.2,0,0,5,0.185366667,0,100,1
"211",2017,"Baja",605732.8355,2181040.13,2979.8,0,0,9,0.2322,0,100,1
"212",2017,"Baja",605717.8098,2181011.377,2991.9,0,0,7.5,0.2367,0,100,1
"213",2017,"Baja",605717.9203,2180992.784,2990.9,0,0,17.7,0.350266667,0,100,1
"214",2017,"Baja",605727.9204,2180985.428,2990.7,0,0,15.2,0.346133333,0,100,1
"215",2017,"Baja",605731.0032,2180995.739,2990.9,0,0,11.2,0.3622,0,100,1
"216",2017,"Baja",605707.4543,2181007.995,2991,0,0,8.8,0.263833333,0,100,1
"217",2016,"Alta",605747.8559,2181069.77,2979.3,0.8,0.213,5,0.1323,38,62,1
"218",2016,"Alta",605744.2655,2181056.689,2979.3,1,0.376333333,4.9,0.244933333,11.9266055,88.0733945,2
"219",2016,"Alta",605740.1774,2181039.178,2979.5,1,0.576333333,5.7,0.292466667,1.063829787,98.93617021,2
"220",2016,"Alta",605754.4645,2181033.508,2980,1,0.499,11.4,0.411533333,10.23622047,89.76377953,2
"221",2016,"Alta",605742.3524,2181025.91,2984.3,1,0.615333333,9.5,0.3546,3.603603604,96.3963964,2
"222",2016,"Alta",605727.7112,2181020.621,2992.3,1,0.240666667,9.5,0.226433333,17.64705882,82.35294118,2
"223",2016,"Alta",605724.2519,2181003.114,2990.8,1,0.428666667,6,0.360766667,1.515151515,98.48484848,2
"224",2016,"Alta",605737.9319,2180993.788,2991,1,0.326333333,5.6,0.338766667,5.952380952,94.04761905,2
"225",2016,"Alta",605724.6902,2180999.907,2991.2,0.966666667,0.355,10.3,0.2542,9.259259259,90.74074074,2
"226",2016,"Alta",605721.5199,2181004.316,2990.9,1,0.289,8,0.356933333,3.883495146,96.11650485,1
"227",2016,"Alta",605723.5856,2181009.419,2991.1,1,0.412,9,0.201533333,8.633093525,91.36690647,2
